filename,channels,samples,sample_rate,duration_seconds,data_shape
G_S0041_M3_E3_R5_nan_raw_ref.mat,6,28000,200.0,140.0,"(6, 28000)"
G_S0041_M3_E3_R8_nan_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0041_M3_E4_R1_nan_raw_ref.mat,6,14000,200.0,70.0,"(6, 14000)"
G_S0041_M3_E4_R3_nan_raw_ref.mat,6,50000,200.0,250.0,"(6, 50000)"
G_S0042_M1_E0_R10_N2_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0042_M1_E0_R11_N2_raw_ref.mat,6,251800,200.0,1259.0,"(6, 251800)"
G_S0042_M1_E2_R8_N2_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
G_S0042_M1_E2_R9_W_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0042_M1_E3_R1_N2_raw_ref.mat,6,60000,200.0,300.0,"(6, 60000)"
G_S0042_M1_E3_R2_N2_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
G_S0042_M1_E3_R4_W_raw_ref.mat,6,12000,200.0,60.0,"(6, 12000)"
G_S0042_M1_E3_R5_N2_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0042_M1_E3_R6_W_raw_ref.mat,6,12000,200.0,60.0,"(6, 12000)"
G_S0042_M1_E4_R3_N2_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0042_M1_E4_R7_W_raw_ref.mat,6,12000,200.0,60.0,"(6, 12000)"
G_S0043_M2_E0_R2_W_raw_ref.mat,6,18000,200.0,90.0,"(6, 18000)"
G_S0043_M2_E0_R7_N2_raw_ref.mat,6,364000,200.0,1820.0,"(6, 364000)"
G_S0043_M2_E0_R8_N2_raw_ref.mat,6,268000,200.0,1340.0,"(6, 268000)"
G_S0043_M2_E2_R5_N2_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0043_M2_E3_R1_W_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0043_M2_E3_R3_N2_raw_ref.mat,6,90000,200.0,450.0,"(6, 90000)"
G_S0043_M2_E3_R6_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0043_M2_E4_R4_N1_raw_ref.mat,6,198000,200.0,990.0,"(6, 198000)"
G_S0051_M1_E0_R11_N2_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0051_M1_E2_R2_N2_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0051_M1_E3_R1_N1_raw_ref.mat,6,18000,200.0,90.0,"(6, 18000)"
G_S0051_M1_E3_R3_N2_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0051_M1_E3_R4_N1_raw_ref.mat,6,84000,200.0,420.0,"(6, 84000)"
G_S0051_M1_E3_R5_N2_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0051_M1_E3_R7_N1_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0051_M1_E3_R9_N1_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0051_M1_E4_R10_W_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0051_M1_E4_R6_N1_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
G_S0051_M1_E4_R8_N2_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0052_M3_E0_R6_N2_raw_ref.mat,6,204000,200.0,1020.0,"(6, 204000)"
G_S0052_M3_E0_R7_N2_raw_ref.mat,6,156000,200.0,780.0,"(6, 156000)"
G_S0052_M3_E0_R8_N1_raw_ref.mat,6,180000,200.0,900.0,"(6, 180000)"
G_S0052_M3_E2_R3_N2_raw_ref.mat,6,66000,200.0,330.0,"(6, 66000)"
G_S0052_M3_E3_R1_N1_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0052_M3_E3_R2_N2_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0052_M3_E3_R4_N2_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0052_M3_E5_R5_N2_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0053_M2_E0_R7_N2_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0053_M2_E2_R1_N2_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0053_M2_E3_R2_N2_raw_ref.mat,6,52000,200.0,260.0,"(6, 52000)"
G_S0053_M2_E3_R3_N2_raw_ref.mat,6,60000,200.0,300.0,"(6, 60000)"
G_S0053_M2_E3_R4_N2_raw_ref.mat,6,60000,200.0,300.0,"(6, 60000)"
G_S0053_M2_E3_R6_N1_raw_ref.mat,6,66000,200.0,330.0,"(6, 66000)"
G_S0053_M2_E4_R5_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0071_M3_E2_R7_W_raw_ref.mat,6,10000,200.0,50.0,"(6, 10000)"
G_S0071_M3_E3_R1_W_raw_ref.mat,6,12000,200.0,60.0,"(6, 12000)"
G_S0071_M3_E3_R8_W_raw_ref.mat,6,18000,200.0,90.0,"(6, 18000)"
G_S0071_M3_E3_R9_W_raw_ref.mat,6,14000,200.0,70.0,"(6, 14000)"
G_S0071_M3_E4_R3_W_raw_ref.mat,6,18000,200.0,90.0,"(6, 18000)"
G_S0071_M3_E4_R5_W_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0071_M3_E4_R6_W_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0071_M3_E5_R4_W_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0072_M1_E0_R10_N2_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E0_R11_N1_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E0_R8_N2_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E0_R9_N1_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E1_R1_W_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E1_R3_W_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E1_R4_N1_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E3_R2_N2_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E4_R5_N2_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E4_R6_N2_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0072_M1_E4_R7_W_raw_ref.mat,6,272000,200.0,1360.0,"(6, 272000)"
G_S0111_M3_E3_R1_N2_raw_ref.mat,6,144000,200.0,720.0,"(6, 144000)"
G_S0111_M3_E3_R4_W_raw_ref.mat,6,28000,200.0,140.0,"(6, 28000)"
G_S0122_M1_E2_R1_N1_raw_ref.mat,6,50000,200.0,250.0,"(6, 50000)"
G_S0122_M1_E3_R2_N1_raw_ref.mat,6,46000,200.0,230.0,"(6, 46000)"
G_S0122_M1_E3_R3_N1_raw_ref.mat,6,288000,200.0,1440.0,"(6, 288000)"
G_S0132_M3_E3_R1_N2_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0132_M3_E4_R2_N1_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0132_M3_E4_R3_N1_raw_ref.mat,6,20000,200.0,100.0,"(6, 20000)"
G_S0141_M3_E3_R1_N1_raw_ref.mat,6,132000,200.0,660.0,"(6, 132000)"
